21 - Wine sales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Period;;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wine;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
Namibia;Africa;Southern Africa;45;225;5;195;1.088;5,58;270;1.351;5;---;---;---;---;---;---;15;272;18,13;---;---;---;278;9.376;33,79;45;315;7;45;348;7,73;---;---;---
Nepal;Asia;Southern Asia;300;2.010;6,7;---;---;---;300;2.010;6,7;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;2.963;21.213;7,16;---;---;---;---;---;---
Nigeria;Africa;Western Africa;450;2.280;5,07;675;3.420;5,07;675;3.420;5,07;---;---;---;---;---;---;---;---;---;---;---;---;43;4.380;102,46;450;3.150;7;---;---;---;---;---;---
Norway;Europe;Northern Europe;10.102;76.806;7,6;19.344;131.227;6,78;11.589;49.146;4,24;---;---;---;8.383;137.515;16,4;45.903;326.344;7,11;1.190;56.618;47,6;11.818;212.305;17,96;7.756;67.890;8,75;40.429;270.517;6,69;---;---;---
New Zealand;Oceania;Australia and New Zealand;1.382;8.492;6,15;37.981;212.912;5,61;19.336;105.515;5,46;---;---;---;1.526;75.114;49,22;3.450;30.343;8,8;423;12.714;30,06;11.843;235.679;19,9;5.467;43.230;7,91;2.678;36.460;13,62;---;---;---
Panama;North America;Central America;459;2.690;5,86;441;2.594;5,88;855;5.002;5,85;---;---;---;23;2.277;101,19;90;972;10,8;---;---;---;270;5.454;20,2;288;2.184;7,58;---;---;---;---;---;---
Paraguay;South America;South America;1.170;5.534;4,73;13.239;69.723;5,27;26.982;134.889;5;---;---;---;---;---;---;---;---;---;---;---;---;950;21.275;22,41;---;---;---;1.889;14.324;7,58;---;---;---
Peru;South America;South America;45;258;5,73;5;0;---;945;4.830;5,11;---;---;---;99;13.068;132;90;780;8,67;---;---;---;401;16.324;40,76;90;570;6,33;---;---;---;---;---;---
Poland;Europe;Eastern Europe;6.823;29.743;4,36;432.780;1.279.433;2,96;57.831;205.191;3,55;1.024;5.205;5,08;525;12.225;23,29;103.282;489.030;4,73;499;18.525;37,14;8.726;133.224;15,27;5.144;37.370;7,27;2.788;17.232;6,18;---;---;---
Portugal;Europe;Southern Europe;2.586.986;12.077.264;4,67;5.998.708;24.980.850;4,16;1.526.441;6.858.212;4,49;127.043;620.451;4,88;143.748;3.712.184;25,82;369.586;3.104.132;8,4;81.493;1.927.530;23,65;991.326;14.455.704;14,58;373.521;2.214.879;5,93;493.398;3.723.774;7,55;3.194;35.061;10,98
Kenya;Africa;Eastern Africa;270;1.879;6,96;630;3.919;6,22;765;4.673;6,11;---;---;---;---;---;---;1.026;11.955;11,65;---;---;---;725;11.123;15,35;45;316;7,03;---;---;---;---;---;---
United Kingdom;Europe;Northern Europe;122.617;620.372;5,06;404.052;1.435.408;3,55;2.969.531;9.907.701;3,34;55.213;283.241;5,13;202.311;3.279.709;16,21;1.128.879;7.152.020;6,34;43.321;1.370.877;31,64;430.939;7.221.193;16,76;3.636.617;17.225.307;4,74;65.204;617.383;9,47;48.758;407.106;8,35
Rep. Guinea Bissau;Africa;Western Africa;9;46;5,13;99;432;4,36;41;193;4,77;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;9;67;7,5;5;37;8,19;---;---;---
